"year","iteration","sAg","ppnCUsLowerBM"
1,"1",216763.005780347,NA
1,"2",216763.005780347,NA
1,"3",216763.005780347,NA
1,"4",216763.005780347,NA
1,"5",216763.005780347,NA
1,"6",216763.005780347,NA
1,"7",216763.005780347,NA
1,"8",216763.005780347,NA
1,"9",216763.005780347,NA
1,"10",216763.005780347,NA
1,"11",216763.005780347,NA
1,"12",216763.005780347,NA
1,"13",216763.005780347,NA
1,"14",216763.005780347,NA
1,"15",216763.005780347,NA
1,"16",216763.005780347,NA
1,"17",216763.005780347,NA
1,"18",216763.005780347,NA
1,"19",216763.005780347,NA
1,"20",216763.005780347,NA
2,"1",216763.005780347,NA
2,"2",216763.005780347,NA
2,"3",216763.005780347,NA
2,"4",216763.005780347,NA
2,"5",216763.005780347,NA
2,"6",216763.005780347,NA
2,"7",216763.005780347,NA
2,"8",216763.005780347,NA
2,"9",216763.005780347,NA
2,"10",216763.005780347,NA
2,"11",216763.005780347,NA
2,"12",216763.005780347,NA
2,"13",216763.005780347,NA
2,"14",216763.005780347,NA
2,"15",216763.005780347,NA
2,"16",216763.005780347,NA
2,"17",216763.005780347,NA
2,"18",216763.005780347,NA
2,"19",216763.005780347,NA
2,"20",216763.005780347,NA
3,"1",216763.005780347,NA
3,"2",216763.005780347,NA
3,"3",216763.005780347,NA
3,"4",216763.005780347,NA
3,"5",216763.005780347,NA
3,"6",216763.005780347,NA
3,"7",216763.005780347,NA
3,"8",216763.005780347,NA
3,"9",216763.005780347,NA
3,"10",216763.005780347,NA
3,"11",216763.005780347,NA
3,"12",216763.005780347,NA
3,"13",216763.005780347,NA
3,"14",216763.005780347,NA
3,"15",216763.005780347,NA
3,"16",216763.005780347,NA
3,"17",216763.005780347,NA
3,"18",216763.005780347,NA
3,"19",216763.005780347,NA
3,"20",216763.005780347,NA
4,"1",216763.005780347,NA
4,"2",216763.005780347,NA
4,"3",216763.005780347,NA
4,"4",216763.005780347,NA
4,"5",216763.005780347,NA
4,"6",216763.005780347,NA
4,"7",216763.005780347,NA
4,"8",216763.005780347,NA
4,"9",216763.005780347,NA
4,"10",216763.005780347,NA
4,"11",216763.005780347,NA
4,"12",216763.005780347,NA
4,"13",216763.005780347,NA
4,"14",216763.005780347,NA
4,"15",216763.005780347,NA
4,"16",216763.005780347,NA
4,"17",216763.005780347,NA
